project_id|council|project_name|sector|constituency|ward|approved_amount_zmw|status|funding_source|source_doc|scraped_at|has_amount_zmw|is_approved|sector_category|amount_band|has_ward|inferred_year
KAB-0098|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0099|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0100|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0101|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0102|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0103|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0104|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0105|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0106|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0107|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0108|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0109|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0110|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0111|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0112|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0113|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0114|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0115|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0116|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0117|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0118|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0119|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0120|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0121|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0122|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0123|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0124|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0125|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0126|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0127|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0128|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0129|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
