page|value|unit|context|source_doc
207|5000|households|Extension of Makululu, water pipes for Moomba, 5000 households Zambezi, Lukanga by Lukanga 1400 5000 1000 1500 1500 1000 Kachulu, Water Water and Makwati, Sewerage Katondo Company Se|IDP_MAIN
207|1500|households|ululu, Settlement Settlement Extension of Moomba, areas areas power lines for Zambezi, Lukanga 300 1500 500 500 250 250 1500 households Kachulu, Water electricity Makwati, Katondo Grading of roads KMC, All Wards 0 360 80 100 100 80 360km RDA,ZNS Objective|IDP_MAIN
214|50|kilometres|the mid- 19th century and continues to play an important role today. Kabwe district has a rail line network of about 40-50 kilometres. The district approach to railway transport focuses on: i. Increase capacity to carry goods for the district to the ind|IDP_MAIN
215|30|km|ricultural based produce. The district has well- developed commercial farming areas within the district radius of about 30 km from the town centre producing maize and wheat, and a good road and rail links that provides easy transportation to mar|IDP_MAIN
216|600|kilometres|ure 75: Proposed Urban Rail Route Extension 4.5.2.6.2 Bus routes Improvement Kabwe district has a road network of about 600 kilometres and 90% of these roads are gravel. Of these district roads, Kabwe holds a trunk road which is the great north road and|IDP_MAIN
216|50|kilometre|the great north road and it passes through the heart of the town. This Trunk Road stretches to a length of about 40 to 50 kilometre across the main district boundary. From this main trunk road (T2) which is a high way many major roads branch into the|IDP_MAIN
233|150|km|Construction of feeder And Human roads and maintenance of Resource, Kabwe Municipal Entire district draianges KMC, NFRA 150 km feeder Equipment, 150,000,000 Council and RDA constructed roads and materials and drainages maintained Kilometres Const|IDP_MAIN
233|50|km|and development maintenance of Entire district draianges Resource, 1,400,000,00 KMC, NFRA Kabwe Municipal urban areas. 50 Km Equipment, Council and RDA constructed 0 Relevant township roads materials and and drainages maintained Human Gazetting|IDP_MAIN
234|140|km|rport an Airport constructed Objective 4: To protect 50km of railway infrastructure from encroachments and rehabilitate 140 km rail line stretch by 2027 Human Repossession of Extent of Resource, 50KM encroached Kabwe Municipal/ Along the strip ra|IDP_MAIN
234|140|km|n Kilometres Resource, Kabwe Municipal/ of the rail Line Entire district of rail line materials, Zambia Railways ZRL of 140 km rehabiliated financial resources Facilitate for Objective 5: To reduce poverty at Household level from 60% to 44.7% by|IDP_MAIN
236|13|markets|Objective 7: To develop and maintain 13 markets by 2027 Constructio n and maintenanc Rehabilitation Number of Man power, Chimanimani, Nakoli, e of markets of toilets a|IDP_MAIN
236|1000000|markets|of Number of Man power, boreholes boreholes in Bwacha and Kabwe Central building materials, KMC KMC, MLGRD drilled(wate 1,000,000 markets financial resources r scheme) Construction Construction of and maintenance 13 modern market shelters Const of markets i|IDP_MAIN
249|1490|teachers|ality, Equitable and Inclusive Education by 2027 s Improve Deployment of No. of teachers Human GRZ, Teacher on staffing 1490 teachers in Across the district deployed in Resourc Cooperating MOE Deployment 350,000 levels the district. the district e partn|IDP_MAIN
249|4860000|schools|uman GRZ, ICT computers IT equipment 300 computers in Across the district Resourc Cooperating MOE Promotion procured in 4,860,000 schools e partners schools 231|IDP_MAIN
250|3600000|schools|cti No. of primary machine GRZ, Construction of 2 on of new Kasavasa - waya schools ry, Cooperating MOE primary schools 3,600,000 schools constructed building partners material s 232|IDP_MAIN
251|3000000|school|Man No. of power, permanent Construction of machine GRZ, school Kawama Primary Kawama ry, Cooperating MOE structure 3,000,000 school building partners constructed at material Kawama s Man Construction of an No. of Constructi power, independent day Seco|IDP_MAIN
251|8000000|schools|Malombe s Man power, Construction of No. of ablution machine GRZ, ablution blocks in blocks ry, Cooperating MOE Enhance 8,000,000 schools. constructed building partners access to material safe Water s and All Wards Man sanitation No. of power, supply in Dri|IDP_MAIN
253|29|wards|. of power, y sensitization and Sanitation sensitizations machine GRZ, Sanitation demonstrations in and hygiene All the 29 Wards and ry, Cooperating KMC, GRZ and sanitation and 80,000 promotion demonstration building partners Hygiene hygiene s cond|IDP_MAIN
253|29|wards|romotion promotion s Man No. of power, Sensitization and sensitization machine GRZ, Orientation and orientation All the 29 Wards ry, Cooperating KMC, GRZ Taining of trainings of 56,000 building partners Emptiers emptier material tn conducted s e m|IDP_MAIN
253|29|wards|ptying a n power, a Procurement of No. of EVAC, of On-Site M machine GRZ, EVAC, Tools; Toola, PPEs Sanitation e All the 29 Wards ry, Cooperating KMC, GRZ g PPE's and and Chemicals 65,000 Facilities d building partners u Chemicals procured lS materi|IDP_MAIN
253|29|wards|lding partners u Chemicals procured lS material la s c e F Man power, No. of Vacuum machine GRZ, Procurement of All the 29 Wards tankers ry, Cooperating KMC, GRZ Vacuum tanker 45,000 procured building partners material s E en n t h o a f n cem e ts|IDP_MAIN
257|52|boreholes|g e l 1,040,000 KMC, GRZ LA f n s I Man power, Number of machine Rehabilitation of All wards boreholes ry, LgWSC LgWSC 52 boreholes 150,000 rehabilitated building material s Munyama, Munga, Man Chinyanja, Muwowo East, power, Muwowo West, Justin Number|IDP_MAIN
259|8|school|mary schools ga, Kasitu, Muwowo, East, Luangwa Mine, Grace Christian primary Promote Inclusive Special Establishment of 8 school, Kawama No. of special Human GRZ, Education more special primary school, education centers Cooperating MOE Learning and|IDP_MAIN
260|64000000|schools|e 1 at Munga 1 at machinery, boarding secondary `Secondary schools Cooperating MOE development Kang'omba and 1 building 64,000,000 schools in the district constructed partners at nyenyezi matrerials Man power, GRZ, Infrastructure Construction of 2 No. of pri|IDP_MAIN
260|3000000|school|ture Construction of school structure machinery, partners Kawama Primary Kawama MOE development constructed at building 3,000,000 school GRZ, Kawama matrerials Cooperating partners 242|IDP_MAIN
261|8000000|school|constructed machinery, independent secondary school at Kasanda Malombe Cooperating MOE development at Kasanda building 8,000,000 school Kasanda Malombe partners Malombe matrerials structure primary school Enhance access Man power, to safe Water Constructi|IDP_MAIN
261|65000|desks|ma Ext blocks constructed building 9,000,000 blocks primary schools partners matrerials GRZ, Procurement School Procure 65000 desks All schools in the No. of desks Human Cooperating MOE of desks Furniture in all schools district procured Resource 104,|IDP_MAIN
262|29|wards|tization Man power, Sanitation and and demonstrations GRZ, Sanitation and and demonstrations machinery, hygiene All the 29 Wards in sanitation and Cooperating KMC, GRZ Hygiene in sanitation and building 80,000 promotion hygiene promotion partners p|IDP_MAIN
262|29|wards|conducted No.of sensitization Man power, Sensitization and GRZ, and orientation machinery, Orientation Taining All the 29 Wards Cooperating KMC, GRZ trainings ofemptiers building 45,000 of Emptiers partners conducted matrerials Emptying of Man pow|IDP_MAIN
262|29|wards|n-Site Fecal Sludge Procurement of No. of EVAC, Toola, GRZ, machinery, Sanitation Management EVAC, Tools; PPE's All the 29 Wards PPEs and Chemicals Cooperating KMC, GRZ building 140,000 Facilities and Chemicals procured partners matrerials Man powe|IDP_MAIN
262|29|wards|0 Facilities and Chemicals procured partners matrerials Man power, GRZ, Procurement of No. of Vacuum machinery, All the 29 Wards Cooperating KMC, GRZ Vacuum tanker tankers procured building 2,000,000 partners matrerials 244|IDP_MAIN
267|0|health post|velopment Kang’omba Health mother's shelter building health care mother's shelter Post,Makupu A constructed matrerials ,000 Health Post, Makupu B Health Post, Mpima Dairy Rural Health Post, Munga Health Post, Munyama Health Post, Waya Health Post, Katondo|IDP_MAIN
268|50000000|hospitals|r, Makululu Mini and Number of Construction of 2 machinery, Katondo Mini mortuaries MOH/GRZ MOH/GRZ Mortuaries building 50,000,000 Hospitals constructed matrerials Man power, Number of district Construction of 1 machinery, Natuseko hospitals MOH/GRZ MOH/GRZ Di|IDP_MAIN
268|90000000|hospitals|Number of health /CO Expansion of 3 machinery, Makululu Mini facilities expanded MOH/GRZ OPERATIN Laboratories building 90,000,000 Hospitals,Bwacha with Laboratories G matrerials PARTNERS Man power, Number of Expansion of 2 Chowa , Katondo machinery, Pharmacie|IDP_MAIN
270|2850000|health post|re Construction of 19 machinery, Magandanyama incinerators MoH, GRZ CDF public health development Incinerators building 2,850,000 Health Post, constructed matrerials Mahatma Gandhi Health Centre, Katondo Health Centre, Makululu Urban Health Centre, Nakoli Healt|IDP_MAIN
271|950000|health post|n of 19 Number of Placenta machinery, Magandanyama MoH, GRZ MOH/CDF development Placenta Pits Pits constructed building 950,000 Health Post, matrerials Mahatma Gandhi Health Centre, Katondo Health Centre, Makululu Urban Health Centre, Nakoli Health Centre, Ka|IDP_MAIN
274|35|health post|re fences constructed Chililalila Health matrerials Post, Chitakata A Number of Secure of 35 Infrastructure Securing of 35 Health Post, Human KCM/Minis properties secured MoH, KMC property tittles development property tittles Chitakata B Health Resource|IDP_MAIN
286|2500|plots|acilities building g partners facilities rehabilitated materials Objectives To provide adequate and affordable land for 2500 plots by 2027 Socio economic Kangomba, Mpima,Waya, Number of KMC KMC, MoL survey Shakumbila plots created Manpower, GPS, Fuel|IDP_MAIN
299|50|km|c I of e v o r a C m o a n in s t t e ru n c a t n io ce n a n o d f Entire 50k t r o o w ad n s s hi a p n d KMC and p 50 Km township 0 10 10 10 10 10 drainages Qtrly m district m RDA I roads and rehabilitate drainages d 281|IDP_MAIN
300|140|km|constructe y Airport I d la Objective 4: To protect 50km of railway infrastructure from encroachments and rehabilitate 140 km rail line stretch by 2027 r e v o s s r e p c m u c o a r t .s a e r a n a b r u d n a tn a v e le R e r u tc u r ts a|IDP_MAIN
301|140|km|ehabilitation of Kabwe Entire of rail line the rail Line of 0 140 28 28 28 28 28 Qtrly Municipal/ district rehabilitate 140 km ZRL d Objective 5: To reduce poverty at Household level from 60% to 44.7% by 20227 d n Conduct a MSMED- n sensitization|IDP_MAIN
302|13|markets|ilets in existing Market 2 2 1 1 rehabiliate 8 MLGRD a bus stations Station ts d E Objective 7: To develop and maintain 13 markets by 2027 fo Chima e c n a n e tn ia s te k r a m R to e i h le a t b s i a li t t a M ti a o r n k e o t f n , N , i a m|IDP_MAIN
